,0,1,2,3,4,5,6,7,8,9
0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,67.0,67.0,132.0,67.0,132.0,67.0,132.0,67.0,132.0,67.0
4,155.0,167.0,167.0,177.0,157.0,167.0,107.0,177.0,177.0,146.0
5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,40.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,92.0,6.0,167.0,19.0,67.0,67.0,167.0,177.0,177.0,146.0
9,62.0,182.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,182.0,182.0,182.0,182.0,182.0,182.0,182.0,0.0,0.0,0.0
11,182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,7.0,23.0,15.0,29.0,7.0,7.0,16.0,22.0,1.0,7.0
14,3.0,27.0,28.0,29.0,29.0,29.0,29.0,29.0,29.0,0.0
15,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,67.0,67.0,67.0,67.0,67.0,177.0,18.0,167.0,167.0,177.0
17,67.0,67.0,67.0,132.0,132.0,67.0,182.0,13.0,132.0,67.0
18,67.0,132.0,132.0,67.0,177.0,83.0,135.0,132.0,67.0,67.0
19,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,7.0,1.0,6.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
22,30.0,62.0,28.0,38.0,62.0,30.0,0.0,0.0,0.0,0.0
23,12.0,1.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,182.0,182.0,70.0,182.0,182.0,133.0,182.0,182.0,133.0,62.0
26,82.0,182.0,182.0,70.0,182.0,182.0,133.0,182.0,182.0,133.0
27,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,62.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
32,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,7.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
34,177.0,157.0,167.0,177.0,157.0,177.0,177.0,146.0,167.0,177.0
35,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0
36,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0
37,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0
38,7.0,0.0,0.0,0.0,7.0,0.0,62.0,20.0,62.0,21.0
39,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0
40,1.0,4.0,8.0,1.0,6.0,97.0,1.0,0.0,0.0,0.0
41,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
43,8.0,182.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
45,67.0,67.0,67.0,67.0,182.0,13.0,67.0,67.0,67.0,67.0
46,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,1.0,62.0,182.0,92.0,7.0,42.0,62.0,118.0
48,62.0,182.0,182.0,70.0,182.0,182.0,42.0,181.0,62.0,181.0
49,157.0,167.0,177.0,157.0,177.0,177.0,146.0,167.0,177.0,134.0
50,177.0,177.0,155.0,177.0,177.0,177.0,177.0,126.0,167.0,177.0
51,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,3.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0
55,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,67.0,177.0,177.0,155.0,177.0,157.0,177.0,157.0,167.0,167.0
57,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0
58,67.0,67.0,67.0,67.0,132.0,67.0,67.0,67.0,67.0,132.0
59,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,43.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,10.0,9.0,9.0,6.0,9.0,13.0,10.0,10.0,0.0,0.0
62,177.0,177.0,98.0,177.0,157.0,167.0,177.0,157.0,177.0,28.0
63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,177.0,177.0,146.0,177.0,157.0,167.0,177.0,177.0,177.0,177.0
65,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
