,0,1,2,3,4,5,6,7,8,9
0,165.90656,156.58627,160.63606,168.51431,177.19908,180.85269,182.43184,159.71927,154.98538,168.91165
1,177.0,177.0,98.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
2,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
3,181.315,187.85992,172.85216,181.12804,181.6374,184.66945,185.60553,0.69336295,0.71848035,1.1920929e-05
4,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
5,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
6,67.0,67.0,67.0,67.0,67.0,132.0,67.0,132.0,67.0,67.0
7,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
9,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
10,4.0,4.0,4.0,4.0,4.0,4.0,3.0,0.0,0.0,0.0
11,67.0,67.0,132.0,67.0,67.0,67.0,132.0,67.0,67.0,67.0
12,166.77538,102.49074,136.15146,136.0361,135.77602,130.59935,133.34439,78.72344,163.07065,103.701164
13,67.0,67.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0
14,11.0,1.0,9.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
15,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
16,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
17,4.0,5.0,5.0,5.0,5.0,5.0,10.0,5.0,0.0,0.0
18,132.0,67.0,67.0,132.0,67.0,67.0,67.0,67.0,67.0,132.0
19,67.0,132.0,67.0,132.0,67.0,67.0,67.0,67.0,67.0,67.0
20,181.71307,173.22293,4.7683716e-05,4.172325e-05,6.556511e-05,7.1525574e-05,0.00029802322,0.00010728836,0.000101327896,4.7683716e-05
21,67.0,67.0,67.0,67.0,67.0,67.0,67.0,135.0,167.0,36.0
22,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2.0,3.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0
25,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,65.28905,69.3279,165.8267,101.496216,3.5762787e-05,2.9802322e-05,0.00042319298,0.00039935112,4.7683716e-05,5.364418e-05
